Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
67,Ia1VRmhh,27/10/2023,15:45,SCOTLAND - CHAMPIONSHIP,Queen's Park,Partick Thistle,ROUND 10,2.8,3.5,2.25,1.33,3.25,1.01,13.0,1.22,4.0,1.73,2.08,2.75,1.4,4.5,1.17,1.62,2.2,2.75,1.43,1.63,2.25,13.0,9.5,12.0,21.0,11.0,7.0,9.5,17.0,15.0,11.0,13.0,23.0,29.0,21.0,26.0,41.0,151.0
68,nyDIyNnR,27/10/2023,15:45,IRELAND - PREMIER DIVISION,Dundalk,Bohemians,ROUND 35,2.9,3.5,2.3,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,3.0,1.36,5.5,1.14,1.67,2.1,2.85,1.4,1.63,2.25,12.0,9.0,12.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
69,hIkoXter,27/10/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,UC Dublin,ROUND 35,1.14,7.5,19.0,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,2.25,1.57,3.75,1.25,2.5,1.5,1.15,5.5,,,15.0,34.0,81.0,351.0,7.5,15.0,41.0,151.0,5.5,11.0,34.0,101.0,6.0,12.0,41.0,126.0,201.0
70,4zUWKOdi,27/10/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,RWDM,ROUND 12,1.91,3.6,3.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,1.93,1.93,1.28,3.55,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
71,YX8Ex3XK,27/10/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,Derry City,ROUND 35,7.0,4.33,1.44,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.95,1.8,6.6,1.11,2.75,1.43,12.0,7.0,7.0,10.0,19.0,8.0,8.5,12.0,34.0,21.0,19.0,26.0,81.0,51.0,51.0,51.0,301.0
72,06F4WZL1,27/10/2023,16:00,SPAIN - LALIGA2,Eibar,Valladolid,ROUND 13,2.1,3.2,4.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,2.05,1.8,1.25,3.8,7.0,9.0,19.0,41.0,6.0,6.0,15.0,34.0,8.5,9.5,19.0,41.0,19.0,19.0,34.0,67.0,1250.0
73,zZOEqy2t,27/10/2023,16:00,ENGLAND - PREMIER LEAGUE,Crystal Palace,Tottenham,ROUND 10,4.33,3.75,1.8,1.33,3.25,1.04,13.0,1.25,4.0,1.75,2.05,2.75,1.44,5.0,1.17,1.7,2.05,4.15,1.22,2.05,1.75,13.0,9.0,10.0,17.0,15.0,7.5,9.0,15.0,26.0,15.0,15.0,26.0,51.0,34.0,41.0,51.0,201.0
74,W8lkW0Al,27/10/2023,16:00,IRELAND - PREMIER DIVISION,St. Patricks,Shamrock Rovers,ROUND 35,3.4,3.5,2.05,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.75,2.0,3.3,1.33,1.75,2.05,11.0,8.0,10.0,19.0,11.0,6.5,9.0,17.0,17.0,12.0,13.0,26.0,41.0,26.0,34.0,41.0,201.0
75,beWgZY7f,27/10/2023,16:15,PORTUGAL - LIGA PORTUGAL,Arouca,Moreirense,ROUND 9,2.4,3.2,3.0,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,1.91,1.91,2.35,1.58,1.4,2.85,8.5,8.5,15.0,34.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
76,0Q5bwlhC,27/10/2023,16:30,MOROCCO - BOTOLA PRO,FUS Rabat,Chabab Mohammedia,ROUND 7,1.44,3.4,8.0,1.5,2.25,1.06,6.8,1.44,2.42,2.4,1.53,3.85,1.17,8.8,1.02,2.75,1.34,,,,,6.5,15.0,41.0,101.0,4.75,7.5,29.0,81.0,5.5,10.0,29.0,81.0,9.0,17.0,41.0,126.0,101.0
77,KfbMwKSs,27/10/2023,19:00,BRAZIL - SERIE B,Ceara,Sport Recife,ROUND 34,2.67,3.0,2.67,1.55,2.37,1.1,6.0,1.44,2.62,2.3,1.57,3.95,1.21,6.9,1.07,1.93,1.78,2.4,1.53,,,6.0,7.3,12.5,30.0,7.0,5.8,10.0,25.0,12.0,10.25,15.5,37.0,30.0,26.0,40.0,90.0,800.0
78,UuYRSXoD,27/10/2023,19:30,PARAGUAY - PRIMERA DIVISION,Tacuary,General Caballero JLM,CLAUSURA ,2.63,3.4,2.55,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,3.5,1.29,7.0,1.1,1.8,1.91,2.6,1.48,1.5,2.5,9.5,8.5,12.0,26.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,251.0
79,xK852Nar,27/10/2023,20:00,NICARAGUA - LIGA PRIMERA,Managua FC,Jalapa,APERTURA ,1.44,4.35,6.1,1.29,3.28,,,1.19,3.7,1.57,2.1,2.37,1.45,4.6,1.16,1.75,1.85,,,,,13.5,18.0,40.0,120.0,7.8,8.75,19.5,65.0,7.3,8.25,17.5,60.0,9.75,11.0,24.0,75.0,500.0
80,fTMI5JAm,27/10/2023,20:00,COLOMBIA - PRIMERA A,Huila,Santa Fe,CLAUSURA ,3.4,3.1,2.3,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,3.4,1.3,6.5,1.11,1.73,2.0,3.3,1.33,1.63,2.25,9.5,8.5,11.0,21.0,11.0,6.0,9.5,19.0,17.0,12.0,13.0,29.0,34.0,26.0,34.0,41.0,201.0
81,CMSKLlLb,27/10/2023,21:00,ECUADOR - LIGA PRO,Libertad,Gualaceo,SECOND STAGE ,1.75,3.5,4.2,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.8,3.5,1.29,7.0,1.1,1.83,1.83,1.78,2.03,1.23,4.1,10.0,12.0,21.0,41.0,7.0,7.0,15.0,34.0,8.5,8.5,17.0,41.0,15.0,15.0,26.0,51.0,301.0
82,EeWldSr9,27/10/2023,21:30,BRAZIL - SERIE B,Novorizontino,Ponte Preta,ROUND 34,1.55,3.65,6.2,1.52,2.45,1.09,6.3,1.4,2.7,2.22,1.62,3.85,1.22,6.7,1.07,2.25,1.57,1.57,2.32,,,6.3,12.5,35.0,150.0,5.1,7.3,21.0,80.0,6.1,8.75,23.0,90.0,10.5,15.0,40.0,150.0,201.0
83,QZkfzoMk,27/10/2023,21:30,BRAZIL - SERIE B,Guarani,Botafogo SP,ROUND 34,1.6,3.45,6.2,1.6,2.25,1.12,5.4,1.53,2.32,2.57,1.45,4.7,1.15,8.0,1.05,2.62,1.44,1.57,2.3,,,5.4,10.75,32.0,150.0,4.45,7.4,23.0,100.0,5.7,9.5,30.0,150.0,10.5,17.5,55.0,250.0,201.0
84,Q1hDFJZ0,27/10/2023,21:30,ARGENTINA - PRIMERA NACIONAL,San Martin T.,Dep. Riestra,PROMOTION ,1.91,3.1,4.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.2,1.62,1.93,1.82,,,7.0,9.0,21.0,41.0,5.5,6.5,15.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,201.0
85,8EeIsBRO,27/10/2023,22:00,COSTA RICA - PRIMERA DIVISION,AD Santos,Cartagines,APERTURA ,2.88,3.5,2.25,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.67,2.1,2.85,1.4,1.63,2.25,12.0,9.0,12.0,21.0,11.0,7.0,9.5,17.0,15.0,11.0,13.0,26.0,29.0,23.0,29.0,41.0,151.0
86,lfQpBYR3,27/10/2023,22:00,MEXICO - LIGA MX,Necaxa,U.N.A.M.- Pumas,APERTURA ,3.3,3.8,2.05,1.33,3.25,1.03,15.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,1.67,2.1,3.3,1.33,1.85,2.0,15.0,9.0,10.0,17.0,12.0,7.5,8.5,15.0,19.0,12.0,13.0,23.0,41.0,26.0,29.0,41.0,151.0
87,xCEZ1yAC,27/10/2023,22:10,COLOMBIA - PRIMERA A,Deportes Tolima,U. Magdalena,CLAUSURA ,1.4,4.5,8.5,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,2.1,1.67,1.4,2.85,1.1,7.0,10.0,17.0,41.0,81.0,6.0,8.5,23.0,51.0,6.5,8.5,21.0,51.0,9.0,13.0,29.0,67.0,201.0
88,t2QW0YRn,27/10/2023,23:00,COSTA RICA - PRIMERA DIVISION,Liberia,Sporting San Jose,APERTURA ,1.95,3.6,3.5,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.57,2.25,1.98,1.83,1.3,3.45,15.0,13.0,21.0,41.0,9.5,7.0,12.0,26.0,11.0,9.0,12.0,29.0,19.0,15.0,21.0,41.0,126.0
89,GA791sFl,27/10/2023,23:00,NICARAGUA - LIGA PRIMERA,Ferretti,Sport Sebaco,APERTURA ,1.74,3.84,4.36,1.31,3.15,,,1.19,3.92,1.7,2.1,2.64,1.4,4.9,1.14,1.64,2.2,,,,,,,,,,,,,,,,,,,,,
90,8rgNKABC,27/10/2023,23:30,USA - USL CHAMPIONSHIP,Sacramento Republic,San Antonio,PLAY OFFS ,2.12,3.3,3.3,1.44,2.6,1.07,7.0,1.32,3.1,1.95,1.8,3.2,1.3,5.6,1.11,1.75,1.95,2.07,1.7,,,7.0,9.5,17.0,45.0,7.6,6.3,11.5,30.0,10.25,8.75,14.0,37.0,20.0,17.0,27.0,65.0,500.0
