Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1278444,France Ligue 1,2021/2022,2021-08-06 16:00:00,1,Monaco,Nantes,1,1,1.44,4.6,7.5,1.06,10.75,1.3,3.6,1.77,2.05,2.9,1.42,5.5,1.17,2.05,1.8
1278442,France Ligue 1,2021/2022,2021-08-07 12:00:00,1,Olympique Lyonnais,Brest,1,1,1.33,5.0,8.5,1.03,19.0,1.15,5.75,1.35,3.04,1.98,1.88,3.35,1.33,1.69,2.2
1278450,France Ligue 1,2021/2022,2021-08-07 16:00:00,1,Troyes,PSG,1,2,8.5,5.5,1.35,1.04,15.0,1.24,4.3,1.61,2.35,2.45,1.56,4.35,1.22,2.0,1.83
1278447,France Ligue 1,2021/2022,2021-08-08 08:00:00,1,Rennes,Lens,1,1,1.75,3.7,4.25,1.09,8.5,1.32,3.4,1.87,1.83,3.35,1.33,6.5,1.13,1.91,1.91
1278441,France Ligue 1,2021/2022,2021-08-08 10:00:00,1,Bordeaux,Clermont,0,2,2.6,3.2,2.9,1.11,7.0,1.43,2.8,2.2,1.69,3.75,1.28,7.25,1.11,1.95,1.87
1278446,France Ligue 1,2021/2022,2021-08-08 10:00:00,1,Nice,Reims,0,0,1.83,3.45,4.8,1.12,6.75,1.49,2.65,2.35,1.61,4.25,1.24,8.5,1.09,2.2,1.67
1278448,France Ligue 1,2021/2022,2021-08-08 10:00:00,1,Saint-Étienne,Lorient,1,1,2.3,3.4,3.2,1.09,8.25,1.38,3.05,2.05,1.8,3.4,1.32,6.25,1.14,1.87,1.95
1278449,France Ligue 1,2021/2022,2021-08-08 10:00:00,1,Strasbourg,Angers SCO,0,2,2.15,3.3,3.6,1.1,7.5,1.42,2.95,2.15,1.71,3.6,1.29,7.0,1.12,1.95,1.87
1278443,France Ligue 1,2021/2022,2021-08-08 12:00:00,1,Metz,Lille,3,3,5.0,3.5,1.68,1.12,6.75,1.4,2.95,2.25,1.57,4.25,1.24,8.5,1.09,2.2,1.69
1278445,France Ligue 1,2021/2022,2021-08-08 15:45:00,1,Montpellier,Olympique Marseille,2,3,3.35,3.4,2.2,1.08,9.5,1.32,3.4,1.91,1.95,3.05,1.38,5.75,1.16,1.74,2.1
1278456,France Ligue 1,2021/2022,2021-08-13 16:00:00,2,Lorient,Monaco,1,0,4.25,3.5,1.91,1.09,8.75,1.36,3.2,2.0,1.83,3.25,1.34,6.0,1.14,1.91,1.95
1278455,France Ligue 1,2021/2022,2021-08-14 12:00:00,2,Lille,Nice,0,4,1.83,3.4,4.3,1.1,8.0,1.36,3.2,2.1,1.67,3.55,1.3,7.0,1.12,2.0,1.83
1278459,France Ligue 1,2021/2022,2021-08-14 16:00:00,2,PSG,Strasbourg,4,2,1.25,7.0,11.0,1.03,18.0,1.17,5.25,1.48,2.7,2.15,1.71,3.6,1.29,1.95,1.87
1278451,France Ligue 1,2021/2022,2021-08-15 08:00:00,2,Angers SCO,Olympique Lyonnais,3,0,4.5,3.72,1.83,1.07,10.25,1.29,3.65,1.8,1.98,2.8,1.44,5.25,1.18,1.77,2.1
1278460,France Ligue 1,2021/2022,2021-08-15 10:00:00,2,Reims,Montpellier,3,3,2.55,3.3,2.9,1.1,8.0,1.37,3.15,2.0,1.83,3.3,1.34,6.25,1.13,1.83,2.0
1278458,France Ligue 1,2021/2022,2021-08-15 10:00:00,2,Nantes,Metz,2,0,2.15,3.25,3.75,1.12,6.75,1.48,2.7,2.3,1.62,4.05,1.25,8.25,1.1,2.1,1.77
